Date,unmpl_fl,30ymtgR_fl,10yinfR,10ry_us,serv2debtsa_us,effmtgR_us,cnsmcrdtout_us,cnsmconf_fl,fedfund,hhdebt2inc,umpl_us,payroll_us,yc530,ois_us
2015-08-01,5.4,3.96,1.8837,0.5723,10.04362,3.81,3.75,111.3,0.08,104.31,5.43,0.141,141.322,9.93
2015-09-01,5.3,3.9,1.66,0.5997,10.105586,3.81,6.56,97.5,0.07,103.97,5.1,0.135,149.505,3.25
2015-10-01,5.3,4.09,1.796,0.6067,10.105586,3.81,2.01,98.7,0.07,103.97,5.1,0.319,140.213,5.25
2015-11-01,5.2,3.89,1.925,0.5908,10.105586,3.81,-2.4,107.0,0.08,103.97,5.1,0.226,132.6,14.7
2015-12-01,5.1,3.99,1.904,0.701,10.040338,3.84,-21.9,116.9,0.2,103.36,5.03,0.273,125.435,20.35
2016-01-01,5.1,3.76,1.716,0.5145,10.040338,3.84,4.91,97.8,0.29,103.36,5.03,0.113,141.422,15.97
2016-02-01,5.0,3.87,1.7,0.3003,10.040338,3.84,3.54,103.0,0.29,103.36,5.03,0.215,140.169,22.95
2016-03-01,5.0,3.69,1.884,0.1324,10.008382,3.8,12.38,107.0,0.25,103.15,4.9,0.255,140.476,18.7
2016-04-01,4.9,3.68,1.931,0.1219,10.008382,3.8,4.03,99.3,0.3,103.15,4.9,0.19,138.168,9.3
2016-05-01,4.9,3.71,1.857,0.2718,10.008382,3.8,3.28,109.1,0.29,103.15,4.9,0.045,127.294,7.25
2016-06-01,4.9,3.5,1.72,0.0343,10.111368,3.81,8.49,105.9,0.3,103.55,4.93,0.251,128.346,-1.4
2016-07-01,4.9,3.37,1.7175,-0.0418,10.111368,3.81,4.9,107.1,0.3,103.55,4.93,0.363,115.734,0.49
2016-08-01,4.9,3.39,1.735,0.1059,10.111368,3.81,5.28,106.5,0.3,103.55,4.93,0.149,103.272,7.6
2016-09-01,4.9,3.46,1.8825,-0.0234,10.170427,3.81,4.21,108.4,0.29,103.53,4.9,0.297,116.533,4.9
2016-10-01,4.9,3.6,2.027,0.091,10.170427,3.81,1.23,101.5,0.31,103.53,4.9,0.108,127.147,4.59
2016-11-01,4.8,4.08,2.284,0.4202,10.170427,3.81,5.49,105.7,0.31,103.53,4.9,0.119,119.002,23.25
2016-12-01,4.8,4.04,2.2975,0.4741,10.129012,3.79,4.28,115.0,0.55,102.94,4.77,0.222,113.599,25.96
2017-01-01,4.7,4.05,2.332,0.3926,10.129012,3.79,3.07,117.5,0.56,102.94,4.77,0.226,114.59,23.4
2017-02-01,4.6,3.97,2.268,0.3766,10.129012,3.79,5.57,122.2,0.57,102.94,4.77,0.212,106.34,37.61
2017-03-01,4.5,3.95,2.268,0.3986,10.078308,3.77,4.84,133.0,0.82,102.27,4.57,0.128,108.665,42.96
2017-04-01,4.4,3.86,2.206,0.3529,10.078308,3.77,2.19,130.7,0.83,102.27,4.57,0.197,113.411,38.65
2017-05-01,4.3,3.83,2.1125,0.3733,10.078308,3.77,4.68,137.4,0.83,102.27,4.57,0.216,110.934,43.35
2017-06-01,4.3,3.83,2.056,0.5638,10.04398,3.75,4.61,123.0,1.06,101.92,4.37,0.199,94.473,47.1
2017-07-01,4.2,3.82,2.115,0.4748,10.04398,3.75,2.59,134.3,1.07,101.92,4.37,0.184,106.109,35.09
2017-08-01,4.2,3.65,2.082,0.342,10.04398,3.75,4.49,135.1,1.07,101.92,4.37,0.135,102.26,22.75
2017-09-01,4.2,3.7,2.172,0.4764,10.037957,3.76,5.86,125.9,1.06,101.56,4.33,0.092,92.246,19.95
2017-10-01,4.1,3.74,2.157,0.4922,10.037957,3.76,8.54,132.5,1.07,101.56,4.33,0.147,86.121,17.45
2017-11-01,4.1,3.76,2.168,0.5377,10.037957,3.76,6.47,135.0,1.07,101.56,4.33,0.229,68.77,20.93
2017-12-01,4.0,3.8,2.219,0.4219,10.032466,3.76,3.8,124.8,1.33,101.49,4.17,0.146,53.189,27.0
2018-01-01,3.9,4.17,2.3275,0.5915,10.032466,3.76,5.88,142.0,1.34,101.49,4.17,0.146,41.928,36.7
2018-02-01,3.9,4.31,2.3175,0.74,10.032466,3.76,2.01,136.8,1.35,101.49,4.17,0.387,48.076,42.0
2018-03-01,3.8,4.24,2.273,0.681,9.974473,3.76,3.54,141.7,1.67,100.6,4.03,0.226,41.004,45.0
2018-04-01,3.8,4.42,2.361,0.7762,9.974473,3.76,-4.13,131.3,1.69,100.6,4.03,0.146,32.484,46.07
